Index,demand
0,0.04480242264304329
1,0.03456931937001799
2,0.03355839817845963
3,0.047236350393503844
4,0.07547008986188762
5,0.017325247008502815
6,0.03287659284142362
7,0.24762067871343824
8,0.03335715240157254
9,0.07291771007469099
10,0.040186169039230404
11,0.23496339934652175
12,0.16262794796409485
13,0.045960687100577303
14,0.1508693056878919
15,0.07987096702357876
16,0.1595806550234852
17,0.08200867746566842
18,0.1034642958286505
19,0.05631859341303996
20,0.014610489353492847
21,0.03569234240153332
22,0.12064865609841732
23,0.029843056435902328
24,0.4406385369668753
25,0.19083359274641096
26,0.038933587164737875
27,0.09852912973856487
28,0.0613091319148994
29,0.01252715806194967
30,0.020275844792114167
31,0.048485227090410365
32,0.026424266693777097
33,0.10287130543115464
34,0.19416289897886344
35,0.45041577570570046
36,0.06310511274156326
37,0.05728294610245256
38,0.09936731095662339
39,0.12465756656451388
40,0.009658537698370936
41,0.01769515049585246
42,0.010577851936069603
43,0.06487594904480184
44,0.03856779690176382
45,0.06501118745705593
46,0.07437581788929579
47,0.3331478808634009
48,0.10394368890433446
49,0.14900190855604165
50,0.2597799822940019
51,0.09775242429498876
52,0.02260444842275354
53,0.22449304736621617
54,0.010145915835331379
55,0.05050373896437362
56,0.12383507439507066
57,0.054832559314650545
58,0.04990091286731782
59,0.03168670905857116
60,0.057390649048877626
61,0.08863743549494384
62,0.09586266338938626
63,0.08658977461767196
64,0.0340105814427094
65,0.3412459511283957
66,0.031646353008377245
67,0.05970321537190152
68,0.0644799679262196
69,0.07395306004579759
70,0.025581515774250434
71,0.03724144961071806
72,0.011227778505727306
73,0.029079188977955917
74,0.08119568576894158
75,0.022730408725924637
76,0.0579196900319386
77,0.11400633832956764
78,0.19588574541302667
79,0.08710316960340758
80,0.03254260346430984
81,0.014576989974914368
82,0.017172614331180124
83,0.09419887683032369
84,0.08612384263174595
85,0.0679508722340449
86,0.15528123336428243
87,0.35034408074720425
88,0.0648972086940116
89,0.047472675384512324
90,0.022550696247327064
91,0.06753381265188313
92,0.0868183479285057
93,0.14358845721034613
94,0.2026360968586101
95,0.01795274876560448
96,0.009449901440918097
97,0.04463829512153239
98,0.01255975402653278
99,0.011631563466402182
100,0.04304995583124294
101,0.03172207939770872
102,0.0314809880536976
103,0.14275588358225874
104,0.04788630150871525
105,0.06235189851202142
106,0.03798936333842075
107,0.10612061655812215
108,0.41668101219731485
109,0.08131593051991184
110,0.018572495716665475
111,0.011421721934566979
112,0.03659218386364075
113,0.058774991989716106
114,0.017858336259258156
115,0.10465213002199121
